Date,Mean
2020-01-01,0.3154
2020-01-02,0.3187
2020-01-03,0.3054
2020-01-04,0.306
2020-01-06,0.3327
2020-01-07,0.3366
2020-01-08,0.3403
2020-01-09,0.3274
2020-01-10,0.3421
2020-01-11,0.3425
2020-01-12,0.334
2020-01-14,0.3469
2020-01-15,0.3464
2020-01-16,0.3704
2020-01-17,0.3414
2020-01-18,0.3661
2020-01-19,0.2964
2020-01-20,0.3178
2020-01-22,0.313
2020-01-23,0.3164
2020-01-24,0.3278
2020-01-25,0.3271
2020-01-26,0.3505
2020-01-28,0.3282
2020-01-30,0.3267
2020-01-31,0.3486
2020-02-01,0.3692
2020-02-02,0.3368
2020-02-03,0.3481
2020-02-05,0.339
2020-02-08,0.3578
2020-02-09,0.4021
2020-02-10,0.3777
2020-02-12,0.352
2020-02-13,0.3861
2020-02-15,0.4106
2020-02-16,0.3918
2020-02-17,0.396
2020-02-18,0.3749
2020-02-19,0.3865
2020-02-20,0.3747
2020-02-23,0.3772
2020-02-24,0.3997
2020-02-25,0.3723
2020-02-26,0.3795
2020-02-28,0.3779
2020-02-29,0.3975
2020-03-02,0.3619
2020-03-03,0.3681
2020-03-04,0.3863
2020-03-05,0.3662
2020-03-06,0.3836
2020-03-08,0.3624
2020-03-10,0.3801
2020-03-11,0.3842
2020-03-12,0.3914
2020-03-13,0.3728
2020-03-14,0.3811
2020-03-15,0.3696
2020-03-16,0.3611
2020-03-18,0.3619
2020-03-19,0.3828
2020-03-20,0.3894
2020-03-21,0.3638
2020-03-22,0.3742
2020-03-23,0.3616
2020-03-26,0.3678
2020-03-27,0.3655
2020-03-28,0.3815
2020-03-29,0.3574
2020-03-30,0.385
2020-03-31,0.3471
2020-04-01,0.3349
2020-04-03,0.3309
2020-04-04,0.3361
2020-04-05,0.3167
2020-04-06,0.3515
2020-04-07,0.3804
2020-04-08,0.3384
2020-04-09,0.3439
2020-04-11,0.3254
2020-04-12,0.3002
2020-04-13,0.3111
2020-04-14,0.3165
2020-04-15,0.3752
2020-04-16,0.2955
2020-04-17,0.2926
2020-04-20,0.2967
2020-04-21,0.2743
2020-04-24,0.2685
2020-04-25,0.28
2020-04-27,0.2508
2020-04-28,0.2479
2020-04-29,0.212
2020-04-30,0.2725
2020-05-01,0.3207
2020-05-02,0.2783
2020-05-03,0.2752
2020-05-05,0.2754
2020-05-06,0.2489
2020-05-07,0.2435
2020-05-08,0.2646
2020-05-09,0.3156
2020-05-10,0.2439
2020-05-11,0.2352
2020-05-13,0.2463
2020-05-14,0.2466
2020-05-15,0.2099
2020-05-16,0.24
2020-05-17,0.279
2020-05-18,0.2161
2020-05-21,0.2446
2020-05-22,0.2623
2020-05-23,0.2211
2020-05-24,0.2628
2020-05-25,0.2754
2020-05-26,0.2376
2020-05-29,0.2507
2020-05-30,0.2333
2020-05-31,0.2072
2020-06-01,0.2357
2020-06-02,0.2785
2020-06-03,0.1977
2020-06-06,0.2063
2020-06-07,0.2209
2020-06-08,0.1761
2020-06-09,0.1922
2020-06-10,0.2497
2020-06-11,0.2186
2020-06-12,0.2282
2020-06-14,0.2413
2020-06-15,0.2408
2020-06-16,0.2308
2020-06-18,0.2708
2020-06-19,0.2315
2020-06-20,0.2671
2020-06-22,0.2416
2020-06-23,0.2513
2020-06-24,0.2461
2020-06-25,0.2658
2020-06-26,0.2738
2020-06-27,0.2425
2020-06-28,0.2607
2020-06-30,0.243
2020-07-01,0.2497
2020-07-02,0.2597
2020-07-03,0.2466
2020-07-05,0.2479
2020-07-06,0.2747
2020-07-08,0.253
2020-07-10,0.2824
2020-07-11,0.2719
2020-07-12,0.2854
2020-07-13,0.2573
2020-07-14,0.2613
2020-07-16,0.2571
2020-07-17,0.26
2020-07-18,0.2662
2020-07-19,0.2885
2020-07-21,0.2694
2020-07-22,0.2622
2020-07-24,0.2704
2020-07-25,0.2725
2020-07-26,0.2512
2020-07-27,0.2764
2020-07-28,0.3219
2020-07-29,0.248
2020-07-30,0.2914
2020-08-01,0.2762
2020-08-02,0.2741
2020-08-03,0.2746
2020-08-04,0.2811
2020-08-05,0.3197
2020-08-06,0.2784
2020-08-07,0.2925
2020-08-09,0.2961
2020-08-10,0.2813
2020-08-11,0.2786
2020-08-12,0.2902
